Patyrę nariai
Tipas;Pavarde;Vardas;Gimimo data;Tel. Nr.;Kodas/Darbo startas;Darbo vieta/Kursas
2021
Studentas;Matelis;Matas;1997-01-02 00:00:00;865187341;E2615;3
Studentas;Tyla;Martynas;1999-06-02 00:00:00;865187512;E2615;5
Senis;Stasiukas;Stasys;2003-06-02 00:00:00;865187222;2020;Darbas1
Studentas;Genijus;Augenijus;1999-02-12 00:00:00;865187111;E2615;2
Studentas;Jase;Guoda;1997-02-02 00:00:00;865187222;E2637;6
Senis;Markevicius;Markas;1993-01-02 00:00:00;865187541;2016;Darbas3
Studentas;Paulenas;Paulius;1997-01-02 00:00:00;865187666;E2615;3
2022
Studentas;Jure;Jurate;1999-03-02 00:00:00;865187341;E2615;2
Senis;Petkute;Markas;1993-03-02 00:00:00;865187541;2016;Darbas4
Studentas;Tomiene;Toma;2005-03-20 00:00:00;865187956;E2615;4
Studentas;Tyla;Martynas;1999-02-16 00:00:00;865187512;E2615;3
Senis;Jase;Guoda;1997-01-02 00:00:00;865187222;2020;Darbas1
Senis;Eitvidas;Evaldas;1991-01-02 00:00:00;865187333;2017;Darbas2
Senis;Kerpyte;Angele;1998-03-02 00:00:00;865187541;2019;Darbas6
Senis;Zvirblyte;Meda;1996-02-02 00:00:00;865187541;2020;Darbas5
2018
Studentas;Matelis;Matas;1997-01-02 00:00:00;865187341;E2615;3
Studentas;Tyla;Martynas;1999-06-02 00:00:00;865187512;E2615;5
Senis;Stasiukas;Stasys;2003-06-02 00:00:00;865187222;2020;Darbas1
Studentas;Genijus;Augenijus;1999-02-12 00:00:00;865187111;E2615;2
Studentas;Jase;Guoda;1997-02-02 00:00:00;865187222;E2637;6
Senis;Markevicius;Markas;1993-01-02 00:00:00;865187541;2016;Darbas3
Studentas;Paulenas;Paulius;1997-01-02 00:00:00;865187666;E2615;3
