Senjorai ir seniai
Tipas;Pavarde;Vardas;Gimimo data;Tel. Nr.;Kodas/Darbo startas;Darbo vieta/Kursas
Senis;Jase;Guoda;1997-01-02 00:00:00;865187222;2020;Darbas1
Studentas;Genijus;Augenijus;1999-02-12 00:00:00;865187111;E2615;2
Studentas;Genijus;Augenijus;1999-02-12 00:00:00;865187111;E2615;2
Studentas;Jure;Jurate;1999-03-02 00:00:00;865187341;E2615;2
Senis;Eitvidas;Evaldas;1991-01-02 00:00:00;865187333;2017;Darbas2
Studentas;Matelis;Matas;1997-01-02 00:00:00;865187341;E2615;3
Studentas;Matelis;Matas;1997-01-02 00:00:00;865187341;E2615;3
Senis;Markevicius;Markas;1993-01-02 00:00:00;865187541;2016;Darbas3
Senis;Markevicius;Markas;1993-01-02 00:00:00;865187541;2016;Darbas3
Studentas;Paulenas;Paulius;1997-01-02 00:00:00;865187666;E2615;3
Studentas;Paulenas;Paulius;1997-01-02 00:00:00;865187666;E2615;3
Studentas;Tyla;Martynas;1999-02-16 00:00:00;865187512;E2615;3
Studentas;Tyla;Martynas;1999-06-02 00:00:00;865187512;E2615;5
Senis;Petkute;Markas;1993-03-02 00:00:00;865187541;2016;Darbas4
Studentas;Tyla;Martynas;1999-06-02 00:00:00;865187512;E2615;5
Studentas;Jase;Guoda;1997-02-02 00:00:00;865187222;E2637;6
Studentas;Jase;Guoda;1997-02-02 00:00:00;865187222;E2637;6
Senis;Zvirblyte;Meda;1996-02-02 00:00:00;865187541;2020;Darbas5
